sensor,index,new_label
u101,5,0
u101,10,0
u101,15,0
u101,20,0
u101,25,0
u101,30,0
u101,35,0
u101,40,0
u101,45,0
u101,50,0
u101,55,0
u101,60,0
u101,65,0
u101,70,0
u101,75,0
u101,80,0
u101,85,0
u101,90,0
u101,95,0
u101,100,0
u101,105,0
u101,110,0
u101,115,0
u101,120,0
u101,125,0
u101,130,0
u101,135,0
u101,140,0
u101,145,0
u101,150,0
u101,155,0
u101,160,0
u101,165,0
u101,170,0
u101,175,0
u101,180,0
u101,185,0
u101,190,0
u101,195,0
u101,200,0
u101,205,0
u101,210,0
u101,215,0
u101,220,0
u101,225,0
u101,230,0
u101,235,0
u101,240,0
u101,245,0
u101,250,0
u101,255,0
u101,260,0
u101,265,0
u101,270,0
u101,275,0
u101,280,0
u101,285,0
u101,290,0
u101,295,0
u101,300,0
u101,305,0
u101,310,0
u101,315,0
u101,320,0
u101,325,0
u101,330,0
u101,335,0
u101,340,0
u101,345,0
u101,350,0
u101,355,0
u101,360,0
u101,365,0
u101,370,0
u101,375,0
u101,380,0
u101,385,0
u101,390,0
u101,395,0
u101,400,0
u101,405,0
u101,410,0
u101,415,0
u101,420,0
u101,425,0
u101,430,0
u101,435,0
u101,440,0
u101,445,0
u101,450,0
u101,455,0
u101,460,0
u101,465,0
u101,470,0
u101,475,0
u101,480,0
u101,485,0
u101,490,0
u101,495,0
u101,500,0
u101,505,0
u101,510,0
u101,515,0
u101,520,0
u101,525,0
u101,530,0
u101,535,0
u101,540,0
u101,545,0
u101,550,0
u101,555,0
u101,560,0
u101,565,0
u101,570,0
u101,575,0
u101,580,0
u101,585,0
u101,590,0
u101,595,0
u101,600,0
u101,605,0
u101,610,0
u101,615,0
u101,620,0
u101,625,0
u101,630,0
u101,635,0
u101,640,0
u101,645,0
u101,650,0
u101,655,0
u101,660,0
u101,665,0
u101,670,0
u101,675,0
u101,680,0
u101,685,0
u101,690,0
u101,695,0
u101,700,0
u101,705,0
u101,710,0
u101,715,0
u101,720,0
u101,725,0
u101,730,0
u101,735,0
u101,740,0
u101,745,0
u101,750,0
u101,755,0
u101,760,0
u101,765,0
u101,770,0
u101,775,0
u101,780,0
u101,785,0
u101,790,0
u101,795,0
u101,800,0
u101,805,0
u101,810,0
u101,815,0
u101,820,0
u101,825,0
u101,830,0
u101,835,0
u101,840,0
u101,845,0
u101,850,0
u101,855,0
u101,860,0
u101,865,0
u101,870,0
u201,5,0
u201,10,0
u201,15,0
u201,20,0
u201,25,0
u201,30,0
u201,35,0
u201,40,0
u201,45,0
u201,50,0
u201,55,0
u201,60,0
u201,65,0
u201,70,0
u201,75,0
u201,80,0
u201,85,0
u201,90,0
u201,95,0
u201,100,0
u201,105,0
u201,110,0
u201,115,0
u201,120,0
u201,125,0
u201,130,0
u201,135,0
u201,140,0
u201,145,0
u201,150,0
u201,155,0
u201,160,0
u201,165,0
u201,170,0
u201,175,0
u201,180,0
u201,185,0
u201,190,0
u201,195,0
u201,200,0
u201,205,0
u201,210,0
u201,215,0
u201,220,0
u201,225,0
u201,230,0
u201,235,0
u201,240,0
u201,245,0
u201,250,0
u201,255,0
u201,260,0
u201,265,0
u201,270,0
u201,275,0
u201,280,0
u201,285,0
u201,290,0
u201,295,0
u201,300,0
u201,305,0
u201,310,0
u201,315,0
u201,320,0
u201,325,0
u201,330,0
u201,335,0
u201,340,0
u201,345,0
u201,350,0
u201,355,0
u201,360,0
u201,365,0
u201,370,0
u201,375,0
u201,380,0
u201,385,0
u201,390,0
u201,395,0
u201,400,0
u201,405,0
u201,410,0
u201,415,0
u201,420,0
u201,425,0
u201,430,0
u201,435,0
u201,440,0
u201,445,0
u201,450,0
u201,455,0
u201,460,0
u201,465,0
u201,470,0
u201,475,0
u201,480,0
u201,485,0
u201,490,0
u201,495,0
u201,500,0
u201,505,0
u201,510,0
u201,515,0
u201,520,0
u201,525,0
u201,530,0
u201,535,0
u201,540,0
u201,545,0
u201,550,0
u201,555,0
u201,560,0
u201,565,0
u201,570,0
u201,575,0
u201,580,0
u201,585,0
u201,590,0
u201,595,0
u201,600,0
u201,605,0
u201,610,0
u201,615,0
u201,620,0
u201,625,0
u201,630,0
u201,635,0
u201,640,0
u201,645,0
u201,650,0
u201,655,0
u201,660,0
u201,665,0
u201,670,0
u201,675,0
u201,680,0
u201,685,0
u201,690,0
u201,695,0
u201,700,0
u201,705,0
u201,710,0
u201,715,0
u201,720,0
u201,725,0
u201,730,0
u201,735,0
u201,740,0
u201,745,0
u201,750,0
u201,755,0
u201,760,0
u201,765,0
u201,770,0
u201,775,0
u201,780,0
u201,785,0
u201,790,0
u201,795,0
u201,800,0
u201,805,0
u201,810,0
u201,815,0
u201,820,0
u201,825,0
u201,830,0
u201,835,0
u201,840,0
u201,845,0
u201,850,0
u201,855,0
u201,860,0
u201,865,0
u201,870,0
u301,5,0
u301,10,0
u301,15,0
u301,20,0
u301,25,0
u301,30,0
u301,35,0
u301,40,0
u301,45,0
u301,50,0
u301,55,0
u301,60,0
u301,65,0
u301,70,0
u301,75,0
u301,80,0
u301,85,0
u301,90,0
u301,95,0
u301,100,0
u301,105,0
u301,110,0
u301,115,0
u301,120,0
u301,125,0
u301,130,0
u301,135,0
u301,140,0
u301,145,0
u301,150,0
u301,155,0
u301,160,0
u301,165,0
u301,170,0
u301,175,1
u301,180,0
u301,185,0
u301,190,0
u301,195,0
u301,200,0
u301,205,0
u301,210,0
u301,215,0
u301,220,0
u301,225,0
u301,230,1
u301,235,1
u301,240,0
u301,245,0
u301,250,0
u301,255,0
u301,260,0
u301,265,0
u301,270,0
u301,275,0
u301,280,0
u301,285,0
u301,290,0
u301,295,0
u301,300,0
u301,305,0
u301,310,0
u301,315,1
u301,320,1
u301,325,0
u301,330,0
u301,335,0
u301,340,0
u301,345,0
u301,350,0
u301,355,0
u301,360,0
u301,365,1
u301,370,0
u301,375,0
u301,380,0
u301,385,0
u301,390,0
u301,395,0
u301,400,0
u301,405,0
u301,410,0
u301,415,0
u301,420,0
u301,425,0
u301,430,0
u301,435,0
u301,440,0
u301,445,0
u301,450,0
u301,455,0
u301,460,0
u301,465,0
u301,470,0
u301,475,1
u301,480,0
u301,485,0
u301,490,0
u301,495,0
u301,500,0
u301,505,0
u301,510,0
u301,515,0
u301,520,0
u301,525,0
u301,530,1
u301,535,0
u301,540,0
u301,545,0
u301,550,0
u301,555,1
u301,560,0
u301,565,0
u301,570,0
u301,575,0
u301,580,0
u301,585,0
u301,590,0
u301,595,0
u301,600,0
u301,605,0
u301,610,0
u301,615,1
u301,620,0
u301,625,0
u301,630,0
u301,635,0
u301,640,0
u301,645,0
u301,650,0
u301,655,0
u301,660,0
u301,665,0
u301,670,0
u301,675,0
u301,680,0
u301,685,0
u301,690,0
u301,695,0
u301,700,0
u301,705,0
u301,710,0
u301,715,0
u301,720,0
u301,725,0
u301,730,0
u301,735,0
u301,740,0
u301,745,0
u301,750,0
u301,755,0
u301,760,0
u301,765,0
u301,770,0
u301,775,0
u301,780,0
u301,785,0
u301,790,0
u301,795,0
u301,800,0
u301,805,0
u301,810,0
u301,815,0
u301,820,0
u301,825,0
u301,830,0
u301,835,1
u301,840,0
u301,845,0
u301,850,1
u301,855,0
u301,860,0
u301,865,0
u301,870,0
u501,5,0
u501,10,0
u501,15,0
u501,20,0
u501,25,0
u501,30,0
u501,35,0
u501,40,0
u501,45,0
u501,50,0
u501,55,0
u501,60,0
u501,65,0
u501,70,0
u501,75,0
u501,80,0
u501,85,0
u501,90,0
u501,95,0
u501,100,0
u501,105,0
u501,110,0
u501,115,0
u501,120,0
u501,125,0
u501,130,0
u501,135,0
u501,140,0
u501,145,0
u501,150,0
u501,155,0
u501,160,0
u501,165,0
u501,170,0
u501,175,0
u501,180,0
u501,185,0
u501,190,0
u501,195,0
u501,200,0
u501,205,0
u501,210,0
u501,215,0
u501,220,0
u501,225,0
u501,230,0
u501,235,0
u501,240,0
u501,245,0
